Nom Com,Code Iris,Classement de SCORE GLOBAL region 1,Nom Iris,Population,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES,,DEPARTEMENTS,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES,REGIONS,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES
Aboncourt-Gesincourt,700020000,16 941,Aboncourt-Gesincourt,215,98,90,87,93,117,88,109,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Aboncourt-sur-Seille,570020000,47 936,Aboncourt-sur-Seille,72,62,0,47,118,79,31,92,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abondance,740010000,22 880,Abondance,1 408,93,105,81,98,96,89,96,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abondant,280010000,37 353,Abondant,2 358,80,118,60,93,75,79,81,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abos,640050000,21 033,Abos,539,94,109,97,83,91,101,88,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abreschviller,570030000,8 531,Abreschviller,1 442,110,101,110,75,131,107,112,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abrest,30010000,27 659,Abrest,2 923,89,96,79,71,103,85,92,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abriès,50010000,34 092,Abriès,302,83,90,91,55,86,91,76,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abscon,590020000,25 620,Abscon,4 440,90,90,79,94,100,82,98,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abzac,330010000,16 988,Abzac,1 926,98,91,107,90,97,102,95,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
